Департамент,Артикул,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07-forecast_lower,2025-07-forecast_mean,2025-07-forecast_upper,2025-08-forecast_lower,2025-08-forecast_mean,2025-08-forecast_upper,2025-09-forecast_lower,2025-09-forecast_mean,2025-09-forecast_upper,2025-10-forecast_lower,2025-10-forecast_mean,2025-10-forecast_upper,last_123_days_sum,forecast_123_days_mean,forecast_123_days_lower,forecast_123_days_upper
АТ Москва,CLAV00-P10020,676,512,439,265,379,575,81,343,334,215,529,336,301,223,130,92,141,186,102,106,94,204,235,198,0,1348,3061,0,1492,3204,0,1427,3084,0,1525,3238,748,5792,0,12587
АТ Москва,CLAV00-P10021,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,31,327,0,9,295,0,0,290,0,21,0,1195
АТ Москва,CLAV00-P10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CLAV00-P10028,9,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,646,0,27,670,0,9,632,0,7,650,0,46,0,2599
АТ Москва,CLAV00-P10032,0,3,26,12,19,30,15,6,7,18,54,94,0,0,0,0,0,0,0,0,0,0,0,0,0,15,489,0,0,474,0,21,479,0,69,542,0,105,0,1983
АТ Москва,CLAV00-P10040,130,207,147,160,15,0,0,0,0,112,93,63,131,95,112,140,193,47,88,110,91,151,142,101,0,163,1155,0,203,1196,0,115,1076,0,191,1184,485,671,0,4611
АТ Москва,CLAV00-P10041,85,12,12,11,42,16,7,17,11,32,17,20,10,9,17,8,11,11,0,0,0,0,0,0,0,0,220,0,4,247,0,0,222,0,0,226,0,0,0,914
АТ Москва,CLAV00-P10042,62,49,32,32,41,26,28,49,40,18,38,17,35,23,6,38,17,34,23,19,32,20,12,1,0,12,353,0,58,399,0,12,343,0,18,359,65,100,0,1454
АТ Москва,CLAV00-P10047,6,5,9,6,14,16,7,18,14,21,31,141,98,18,43,44,0,0,0,0,0,0,0,0,0,0,261,0,33,299,0,6,264,0,17,283,0,50,0,1106
АТ Москва,CLAV00-P10048,275,161,223,203,198,335,125,187,132,193,25,57,63,56,68,43,271,156,72,152,18,0,33,47,0,0,999,0,21,1059,0,11,1016,0,0,991,122,0,0,4065
АТ Москва,CLAV00-P10049,662,655,575,629,584,631,241,442,427,583,381,458,415,468,486,443,168,577,308,218,354,564,414,783,0,1514,3607,0,1575,3667,0,1655,3680,0,1790,3882,2154,6534,0,14837
АТ Москва,CLAV00-P10050,2,3,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,463,0,39,491,0,12,450,0,25,477,0,88,0,1881
